sci_name,long,lat
Bulbophyllum exaltatum,-40.7025,-11.254444
Bulbophyllum exaltatum,-41.866111,-13.045833
Bulbophyllum exaltatum,-41.23,-11.411389
Bulbophyllum exaltatum,-41.844444,-13.098611
Bulbophyllum exaltatum,-41.85,-13.3
Bulbophyllum exaltatum,-40.999167,-11.625833
Bulbophyllum exaltatum,-40.15,-11.55
Bulbophyllum exaltatum,-40.518056,-11.180833
Bulbophyllum exaltatum,-41.155833,-11.550278
Bulbophyllum exaltatum,-41.43,-12.47
Bulbophyllum exaltatum,-41.569444,-13.6725
Bulbophyllum exaltatum,-40.703056,-11.253056
Bulbophyllum exaltatum,-41.422222,-12.456389
Bulbophyllum exaltatum,-41.001389,-11.635833
Bulbophyllum exaltatum,-41.15,-11.55
Bulbophyllum exaltatum,-41.894167,-13.08
Bulbophyllum exaltatum,-41.195833,-11.45
Bulbophyllum exaltatum,-40.633333,-11.083333
Bulbophyllum exaltatum,-41.375564,-12.558031
Bulbophyllum exaltatum,-41.1558252,-11.5539318
Bulbophyllum exaltatum,-40.5180838,-11.1844226
Bulbophyllum exaltatum,-42.546389,-14.338611
Bulbophyllum exaltatum,-41.209444,-11.207778
Bulbophyllum exaltatum,-40.905833,-11.909167
Bulbophyllum exaltatum,-41.414167,-10.331667
Bulbophyllum exaltatum,-41.765278,-13.7575
Bulbophyllum exaltatum,-41.937222,-13.9375
Bulbophyllum exaltatum,-41.103889,-11.100833
Bulbophyllum exaltatum,-40.15,-11.15
Bulbophyllum exaltatum,-40.996389,-11.989444
Bulbophyllum exaltatum,-40.67,-11.676111
Bulbophyllum exaltatum,-41.413056,-13.411944
Bulbophyllum exaltatum,-40.996667,-11.989444
Bulbophyllum exaltatum,-41.995833,-12.994444
Bulbophyllum exaltatum,-40.999722,-11.991944
Bulbophyllum exaltatum,-41.413056,-13.411667
Bulbophyllum exaltatum,-41.37,-13.371111
Bulbophyllum exaltatum,-40.998611,-11.9925
Bulbophyllum exaltatum,-41.15,-11.15
Bulbophyllum exaltatum,-41.027222,-11.017778
Bulbophyllum exaltatum,-41.150556,-11.161111
Bulbophyllum exaltatum,-41,-11
Bulbophyllum exaltatum,-41.766667,-13.766667
Bulbophyllum exaltatum,-40.655278,-11.655278
Bulbophyllum exaltatum,-41.165,-11.158889
Bulbophyllum exaltatum,-41.164722,-11.153333
Bulbophyllum exaltatum,-41.316667,-10.316667
Bulbophyllum exaltatum,-41.833333,-13.833333
Bulbophyllum exaltatum,-41.866667,-13.866667
Bulbophyllum exaltatum,-41.133333,-11.133333
Bulbophyllum exaltatum,-41.418611,-12.450833
Bulbophyllum exaltatum,-41.433333,-12.466667
Bulbophyllum exaltatum,-41.862778,-12.407778
Bulbophyllum exaltatum,-41.316667,-10.366667
