family,genus,species,Long,Lat
Orchidaceae,Encyclia,Encyclia jenischiana,-40.5,-13.5
Orchidaceae,Encyclia,Encyclia oncidioides,-41.733333,-13.316667
Orchidaceae,Epidendrum,Epidendrum secundum,-41.333333,-12.966667
Orchidaceae,Epidendrum,Epidendrum saxatile,-41.966667,-13.533333
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.85,-13.333333
Orchidaceae,Epidendrum,Epidendrum warrasii,-41.933334,-13.533333
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.883334,-13.533333
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.866667,-13.283333
Orchidaceae,Epidendrum,Epidendrum cristatum,-41.866667,-13.333333
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.85,-13.316667
Orchidaceae,Epidendrum,Epidendrum saxatile,-41.9,-13.316667
Orchidaceae,Epidendrum,Epidendrum secundum,-41.916667,-13.533333
Orchidaceae,Epidendrum,Epidendrum orchidiflorum,-41.4,-12.566667
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.983334,-13.5
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.95,-13.533333
Orchidaceae,Epidendrum,Epidendrum saxatile,-40.25,-10
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.883334,-13.3
Orchidaceae,Epidendrum,Epidendrum secundum,-41.316667,-12.866667
Orchidaceae,Epidendrum,Epidendrum saxatile,-41.916667,-13.533333
Orchidaceae,Octomeria,Octomeria alexandri,-41.416667,-13.016667
Orchidaceae,Epidendrum,Epidendrum secundum,-41.45,-12.45
Orchidaceae,Epidendrum,Epidendrum orchidiflorum,-41.333333,-12.533333
Orchidaceae,Epidendrum,Epidendrum secundum,-41.883334,-13.3
Orchidaceae,Pelexia,Pelexia oestrifera,-41.45,-12.5
Orchidaceae,Octomeria,Octomeria pinicola,-41.2,-11.583333
Orchidaceae,Epidendrum,Epidendrum secundum,-41.966667,-13.533333
Orchidaceae,Epidendrum,Epidendrum secundum,-41.95,-13.55
Orchidaceae,Octomeria,Octomeria alexandri,-41.45,-12.5
Orchidaceae,Epidendrum,Epidendrum secundum,-41.483333,-12.6
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.966667,-13.516667
Orchidaceae,Thelyschista,Thelyschista ghillanyi,-41.433333,-12.466667
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-42.366667,-13.85
Orchidaceae,Liparis,Liparis vexillifera,-41.466667,-12.45
Orchidaceae,Epidendrum,Epidendrum secundum,-41.033333,-11.633333
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.95,-13.533333
Orchidaceae,Barbosella,Barbosella crassifolia,-41.933334,-13.533333
Orchidaceae,Epidendrum,Epidendrum secundum,-41.933334,-13.533333
Orchidaceae,Octomeria,NA,-41.45,-13.583333
Orchidaceae,Epidendrum,Epidendrum secundum,-41.383333,-13
Orchidaceae,Epidendrum,Epidendrum secundum,-41.266667,-13.7
Orchidaceae,Epidendrum,Epidendrum secundum,-41.333333,-10.366667
Orchidaceae,Sarcoglottis,Sarcoglottis schwackei,-41.9,-13.3
Orchidaceae,Acianthera,Acianthera ochreata,-41.916667,-13.533333
Orchidaceae,Thelyschista,Thelyschista ghillanyi,-41.333333,-12.966667
Orchidaceae,Epidendrum,Epidendrum secundum,-41.333333,-13.333333
Orchidaceae,Veyretia,Veyretia simplex,-41.95,-13.533333
Orchidaceae,Acianthera,Acianthera ochreata,-41.966667,-13.516667
Orchidaceae,Anathallis,Anathallis montipelladensis,-41.95,-13.533333
Orchidaceae,Pelexia,Pelexia viridis,-41.333333,-13.666667
Orchidaceae,Epidendrum,Epidendrum secundum,-41.983334,-13.5
Orchidaceae,Acianthera,Acianthera ochreata,-41.333333,-10.366667
Orchidaceae,Veyretia,Veyretia sincorensis,-41.9,-13.3
Orchidaceae,Acianthera,Acianthera prolifera,-41.266667,-13.7
Orchidaceae,Stelis,Stelis parvula,-41.966667,-13.516667
Orchidaceae,Acianthera,Acianthera ochreata,-41.35,-12.983334
Orchidaceae,Epistephium,Epistephium williamsii,-41.933334,-13.533333
Orchidaceae,Acianthera,Acianthera ochreata,-40.5,-13.5
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.266667,-13.7
Orchidaceae,Acianthera,Acianthera ochreata,-41.2,-11.583333
Orchidaceae,Thelyschista,Thelyschista ghillanyi,-41.383333,-13
Orchidaceae,Epistephium,Epistephium williamsii,-41.35,-13.016667
Orchidaceae,Acianthera,Acianthera ochreata,-41.433333,-12.466667
Orchidaceae,Anathallis,Anathallis montipelladensis,-42,-13.516667
Orchidaceae,Epistephium,Epistephium williamsii,-41.3,-13.583333
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.333333,-12.533333
Orchidaceae,Acianthera,Acianthera prolifera,-41.45,-12.5
Orchidaceae,Sobralia,NA,-41.416667,-12.45
Orchidaceae,Stelis,Stelis montserratii,-41.966667,-13.533333
Orchidaceae,Acianthera,Acianthera ochreata,-41.416667,-12.466667
Orchidaceae,Thelyschista,Thelyschista ghillanyi,-41.35,-13.016667
Orchidaceae,Sobralia,Sobralia sessilis,-41.033333,-11.633333
Orchidaceae,Epistephium,Epistephium williamsii,-41.466667,-12.45
Orchidaceae,Habenaria,Habenaria mystacina,-41.466667,-12.966667
Orchidaceae,Anathallis,Anathallis montipelladensis,-41.966667,-13.516667
Orchidaceae,Epistephium,Epistephium williamsii,-41.316667,-12.866667
Orchidaceae,Habenaria,Habenaria imbricata,-41.866667,-13.333333
Orchidaceae,Epistephium,Epistephium williamsii,-41.916667,-13.533333
Orchidaceae,Epistephium,Epistephium williamsii,-40.25,-10
Orchidaceae,Habenaria,Habenaria hamata,-41.466667,-12.45
Orchidaceae,Sobralia,Sobralia liliastrum,-41.4,-12.55
Orchidaceae,Habenaria,Habenaria parviflora,-41.2,-11.583333
Orchidaceae,Habenaria,Habenaria johannensis,-41.416667,-13.033333
Orchidaceae,Habenaria,Habenaria johannensis,-41.4,-13.016667
Orchidaceae,Cleistes,Cleistes speciosa,-41.466667,-12.45
Orchidaceae,Habenaria,Habenaria fluminensis,-41.45,-13.583333
Orchidaceae,Prescottia,Prescottia leptostachya,-41.95,-13.533333
Orchidaceae,Habenaria,Habenaria meeana,-41.466667,-12.966667
