species,Long,Lat
Cyrtopodium holstii,-37.302029,-5.915125
Zygopetalum maculatum,-41.490171,-12.71596
Epistephium williamsii,-40.594796,-11.428702
Epidendrum secundum,-41.968548,-13.52632
Habenaria josephensis,-40.594796,-11.428702
Cleistes parviflora,-41.441956,-12.654834
Vanilla phaeantha,-37.432324,-10.513894
Cyrtopodium flavum,-36.016917,-8.410639
Acianthera ochreata,-36.016917,-8.410639
Cyrtopodium aliciae,-41.39192,-12.584525
Dimerandra emarginata,-36.6169,-9.420745
Cyrtopodium eugenii,-41.697454,-13.728502
Zygopetalum microphytum,-41.341614,-12.890217
Epidendrum flammeum,-36.578349,-9.373094
Vanilla phaeantha,-35.380849,-5.883307
Catasetum uncatum,-38.56839,-10.697417
Cattleya luetzelburgii,-41.697125,-13.72892
Acianthera ochreata,-41.341614,-12.890217
Encyclia alboxanthina,-41.341614,-12.890217
Epistephium williamsii,-41.763283,-13.151426
Eulophia maculata,-36.665361,-7.663642
Cattleya tenuis,-42.299167,-12.600556
Gomesa varicosa,-42.281667,-12.279444
Cyrtopodium flavum,-39.4725,-12.469722
Prosthechea moojenii,-41.2,-11.2
Cleistes moritzii,-41.383333,-12.383333
Epidendrum strobiliferum,-41.483333,-12.483333
Bulbophyllum plumosum,-41.866667,-13.866667
Epidendrum dendrobioides,-41.85,-13.85
Epidendrum dendrobioides,-41.916667,-13.916667
Pelexia viridis,-41.916667,-13.916667
Zygopetalum sellowii,-41.9,-13.9
Cattleya elongata,-41.85,-13.85
Gomesa praetexta,-41.9,-13.9
Habenaria petalodes,-39.054444,-11.054167
Sacoila lanceolata,-41.826111,-13.820833
Cattleya elongata,-41.45,-12.45
Pelexia viridis,-41.466667,-12.466667
Stelis sclerophylla,-41.483333,-12.483333
Stelis montserratii,-41.9,-13.9
Gomesa gomezoides,-41.9,-14.9
Cleistes moritzii,-41.9,-13.9
Eulophia maculata,-41.916667,-13.916667
Zygopetalum maculatum,-39.533333,-12.533333
Stelis montserratii,-41.383333,-12.383333
Maxillaria marginata,-41.383333,-12.383333
Catasetum luridum,-38.483333,-9.483333
Grobya amherstiae,-41.883333,-13.883333
Gomesa praetexta,-41.95,-13.95
Galeandra montana,-40.207778,-10.208611
Maxillaria barbosae,-41.883333,-13.883333
Epidendrum secundum,-39.533333,-12.533333
Eulophia maculata,-39.899167,-12.888333
Epidendrum orchidiflorum,-41.452778,-12.456667
Bulbophyllum mentosum,-41.886389,-13.893889
Eulophia maculata,-39.898611,-12.89
Octomeria alexandri,-41.466667,-12.466667
Sobralia liliastrum,-41.416667,-12.416667
Catasetum luridum,-39.332222,-9.323056
Cyrtopodium flavum,-39.899167,-12.888333
Prescottia plantaginifolia,-39.541111,-12.538889
Cyrtopodium flavum,-39.783056,-12.77
Epidendrum secundum,-41.383333,-12.383333
Cattleya elongata,-41.200833,-11.2
Habenaria repens,-41.95,-13.95
Epidendrum secundum,-41.191944,-11.184167
Isochilus linearis,-41.349444,-12.349722
Cattleya elongata,-41.319167,-12.323333
Habenaria pseudohamata,-41.376389,-13.383056
Epidendrum secundum,-41.377778,-13.368056
Epidendrum proligerum,-41.373611,-13.371111
Bulbophyllum napellii,-41.5,-12.5
Epidendrum orchidiflorum,-41,-11.011389
Rodriguezia obtusifolia,-41.383333,-12.383333
Epistephium williamsii,-41.933333,-13.933333
Bulbophyllum weddellii,-41.371944,-13.368889
Habenaria mystacina,-41.344167,-13.3475
Eulophia maculata,-40.198611,-10.198611
Gomesa ramosa,-40.202222,-10.212778
Cattleya labiata,-36.392778,-8.388889
Epidendrum cinnabarinum,-36.407778,-8.410833
Cyrtopodium aliciae,-42.4,-13.4
Bulbophyllum mentosum,-41.9,-13.9
Sobralia liliastrum,-41.366667,-12.366667
Cattleya luetzelburgii,-42.4,-13.4
Cyrtopodium aliciae,-41.9,-13.9
