scientificName,family,genus,species,NM_MUN,SIGLA_UF,Latitude,Longitude
Cleistes pluriflora (Barb.Rodr.) Schltr.,Orchidaceae,Cleistes,Cleistes moritzii,Abaira,BA,-13.25,-41.9
Habenaria johannensis Barb.Rodr.,Orchidaceae,Habenaria,Habenaria johannensis,Abaira,BA,-13.28,-41.85
Cyrtopodium punctatum (L.) Lindl.,Orchidaceae,Cyrtopodium,Cyrtopodium punctatum,Abaira,BA,-13.3,-41.82
Gomesa hydrophila (Barb.Rodr.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa hydrophila,Abaira,BA,-13.33,-41.87
Cleistes pluriflora (Barb.Rodr.) Schltr.,Orchidaceae,Cleistes,Cleistes moritzii,Abaira,BA,-13.33,-41.87
Gomesa imperatoris-maximiliani (Rchb.f.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa imperatoris-maximiliani,Abaira,BA,-13.25,-41.9
Maxillaria barbosae Loefgr. ex Porto,Orchidaceae,Maxillaria,Maxillaria barbosae,Abaira,BA,-13.33,-41.88
Laelia bahiensis Schltr.,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.3,-41.85
Epistephium williamsii Hook.f.,Orchidaceae,Epistephium,Epistephium williamsii,Abaira,BA,-13.25,-41.9
Acianthera prolifera (Herb. ex Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera prolifera,Abaira,BA,-13.23,-41.9
Acianthera ochreata (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera ochreata,Abaira,BA,-13.3,-41.87
Acianthera ochreata (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera ochreata,Abaira,BA,-13.23,-41.9
Gomesa warmingii (Rchb.f.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa warmingii,Abaira,BA,-13.290833,-41.901667
Gomesa warmingii (Rchb.f.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa warmingii,Abaira,BA,-13.25,-41.916667
"Brasiliorchis gracilis (G.Lodd. ex Paxton & J.Harrison) R.B.Singer, S.Koehler & Carnevali",Orchidaceae,Maxillaria,Maxillaria humilis,Abaira,BA,-13.325833,-41.882222
Zygopetalum maculatum (Kunth) Garay,Orchidaceae,Zygopetalum,Zygopetalum maculatum,Abaira,BA,-13.325833,-41.882222
Habenaria hamata Barb.Rodr.,Orchidaceae,Habenaria,Habenaria hamata,Abaira,BA,-13.3,-41.883333
Acianthera prolifera (Herb. ex Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera prolifera,Abaira,BA,-13.325833,-41.882222
Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera saundersiana,Abaira,BA,-13.325833,-41.882222
Stelis aprica Lindl.,Orchidaceae,Stelis,Stelis aprica,Abaira,BA,-13.26666,-41.9
Pleurothallis rubens Lindl.,Orchidaceae,Stelis,Stelis montserratii,Abaira,BA,-13.266667,-41.9
Pleurothallis grobyi Bateman ex Lindl.,Orchidaceae,Specklinia,Specklinia grobyi,Abaira,BA,-13.23333,-41.9
Pleurothallis ochreata Lindl.,Orchidaceae,Acianthera,Acianthera ochreata,Abaira,BA,-13.23333,-41.9
Epidendrum paranaense Barb.Rodr.,Orchidaceae,Epidendrum,Epidendrum paranaense,Abaira,BA,-13.25,-41.91666
Epidendrum secundum Jacq.,Orchidaceae,Epidendrum,Epidendrum secundum,Abaira,BA,-13.28333,-41.9
Epidendrum dendrobioides Thunb.,Orchidaceae,Epidendrum,Epidendrum dendrobioides,Abaira,BA,-13.33333,-41.85
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.315833,-41.885556
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.316667,-41.8
Epidendrum dendrobioides Thunb.,Orchidaceae,Epidendrum,Epidendrum dendrobioides,Abaira,BA,-13.3,-41.883333
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.3,-41.883333
Epidendrum secundum Jacq.,Orchidaceae,Epidendrum,Epidendrum secundum,Abaira,BA,-13.3,-41.883333
Zygopetalum sellowii Rchb.f.,Orchidaceae,Zygopetalum,Zygopetalum sellowii,Abaira,BA,-13.3,-41.883333
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.3,-41.883333
Laelia bahiensis Schltr.,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.3,-41.6
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.325917,-41.882306
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Abaira,BA,-13.316667,-41.8
Gomesa spiloptera (Lindl.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa maculosa,Abaira,BA,-13.333333,-41.866667
